"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"306",10,"Jerome Ford",WAS,"RB94","7","2 out of 5","4 out of 5","4 out of 5 stars","-"
"307",10,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","-"
"308",10,"Jarquez Hunter",LAR,"RB95","11","-","-","5 out of 5 stars","-"
"309",10,"Audric Estime",NO,"RB96","8","-","-","3 out of 5 stars","-"
"310",10,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","-"
"311",10,"Jaleel McLaughlin",DEN,"RB97","10","-","-","2 out of 5 stars","-"
"312",10,"Skyler Bell",BUF,"WR107","7","-","-","4 out of 5 stars","-"
"313",10,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-"
"314",10,"Brandon Aiyuk",SF,"WR108","8","2 out of 5","5 out of 5","2 out of 5 stars","-1"
"315",10,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","-"
"316",10,"Jake Tonges",SF,"TE37","8","-","-","3 out of 5 stars","-39"
"317",10,"Darren Waller",CAR,"TE38","5","-","-","2 out of 5 stars","-42"
"318",10,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-102"
"319",10,"Andrei Iosivas",CIN,"WR109","6","-","-","4 out of 5 stars","-"
"320",10,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-"
"321",10,"Tyreek Hill",FA,"WR110","-","1 out of 5","5 out of 5","-","-118"
"322",10,"Oscar Delp",NO,"TE40","8","4 out of 5","4 out of 5","2 out of 5 stars","-"
"323",10,"Michael Mayer",LV,"TE41","13","-","-","3 out of 5 stars","-31"
"324",10,"DeMario Douglas",NE,"WR111","11","-","-","2 out of 5 stars","-"
"325",10,"Jahan Dotson",ATL,"WR112","11","-","-","3 out of 5 stars","+1"
"326",10,"Kareem Hunt",FA,"RB99","-","-","-","-","-46"
"327",10,"Elijah Arroyo",SEA,"TE42","11","-","-","3 out of 5 stars","-"
"328",10,"Charlie Kolar",LAC,"TE43","7","-","-","4 out of 5 stars","-"
"329",10,"Erick All Jr.",CIN,"TE44","6","-","-","3 out of 5 stars","-"
"330",10,"Carson Beck",ARI,"QB36","14","-","-","2 out of 5 stars","-54"
"331",10,"Bryce Lance",NO,"WR113","8","-","-","3 out of 5 stars","-20"
"332",10,"Jalen Tolbert",MIA,"WR114","6","-","-","3 out of 5 stars","-39"
"333",10,"Xavier Hutchinson",HOU,"WR115","8","-","-","3 out of 5 stars","-29"
"334",10,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-"
"335",10,"Cole Kmet",CHI,"TE45","10","-","-","2 out of 5 stars","-"
"336",10,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-139"
"337",11,"Eli Raridon",NE,"TE46","11","-","-","4 out of 5 stars","-"
"338",11,"Konata Mumpfield",LAR,"WR116","11","-","-","1 out of 5 stars","-"
"339",11,"Joe Mixon",FA,"RB100","-","-","-","-","-"
"340",11,"Cedric Tillman",CLE,"WR117","11","-","-","3 out of 5 stars","-"
"341",11,"Dawson Knox",BUF,"TE47","7","-","-","3 out of 5 stars","-"
"342",11,"Brenen Thompson",LAC,"WR118","7","-","-","2 out of 5 stars","-"
"343",11,"Tyler Higbee",LAR,"TE48","11","-","-","4 out of 5 stars","-"
"344",11,"Luke McCaffrey",WAS,"WR119","7","-","-","2 out of 5 stars","-"
"345",11,"Jalen Royals",KC,"WR120","5","-","-","2 out of 5 stars","-"
"346",11,"Tez Johnson",TB,"WR121","10","-","-","4 out of 5 stars","-"
"347",11,"Noah Gray",KC,"TE49","5","-","-","4 out of 5 stars","-"
"348",11,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-"
"349",11,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-"
"350",11,"Olamide Zaccheaus",ATL,"WR122","11","-","-","3 out of 5 stars","-"
"351",11,"Kendrick Bourne",ARI,"WR123","14","-","-","2 out of 5 stars","-"
"352",11,"Max Klare",LAR,"TE50","11","-","-","4 out of 5 stars","-"
