Avg. ADP,Player,Pos,Vegas Proj.,FP Proj.,Difference
250.0,LilJordan Humphrey,WR,6.40,6.40,0.00
250.0,Dee Eskridge,WR,0.50,6.20,-5.70
250.0,DeeJay Dallas,RB,3.30,6.00,-2.70
250.0,Rasheen Ali,RB,5.80,5.80,0.00
250.0,Scotty Miller,WR,5.10,5.80,-0.70
250.0,Kylen Granson,TE,1.40,5.80,-4.40
250.0,Tucker Fisk,TE,5.90,5.80,0.10
250.0,Devin Duvernay,WR,1.70,5.70,-4.00
250.0,Tyler Scott,WR,3.60,5.40,-1.80
250.0,Tanner Hudson,TE,2.80,5.10,-2.30
250.0,Nick Nash,WR,5.00,5.00,0.00
250.0,Trey Sermon,RB,3.30,4.80,-1.50
250.0,Mitchell Tinsley,WR,5.00,4.60,0.40
250.0,Jack Stoll,TE,4.50,3.90,0.60
250.0,Anthony Gould,WR,4.40,3.70,0.70
250.0,Ashton Dulin,WR,3.70,3.50,0.20
250.0,Trent Sherfield,WR,3.20,3.50,-0.30
250.0,Tank Dell,WR,3.20,3.40,-0.20
250.0,Isaiah Neyor,WR,3.40,3.40,0.00
250.0,Jacob Cowing,WR,1.70,3.40,-1.70
250.0,Jase McClellan,RB,5.80,2.90,2.90
250.0,Dylan Laube,RB,5.70,2.90,2.80
250.0,Jimmy Horn,WR,5.10,2.60,2.50
250.0,Raheim Sanders,RB,4.60,2.30,2.30
250.0,Carlos Washington,RB,4.20,2.10,2.10
250.0,Jason Brownlee,WR,1.90,1.90,0.00
250.0,Braxton Berrios,WR,3.40,1.80,1.60
250.0,Tyler Badie,RB,3.30,1.70,1.60
250.0,Phil Mafah,RB,3.30,1.70,1.60
250.0,LaJohntay Wester,WR,3.40,1.70,1.70
250.0,George Holani,RB,2.90,1.50,1.40
250.0,Robert Tonyan,TE,3.00,1.50,1.50
250.0,Nick Vannett,TE,3.00,1.50,1.50
250.0,Keilan Robinson,RB,2.80,1.40,1.40
250.0,Sione Vaki,RB,2.10,1.10,1.00
250.0,JaMycal Hasty,RB,2.00,1.00,1.00
250.0,Nikko Remigio,WR,1.80,0.90,0.90
250.0,Xavier Smith,WR,1.70,0.90,0.80
250.0,DErnest Johnson,RB,1.50,0.80,0.70
250.0,Harrison Bryant,TE,1.40,0.80,0.60
250.0,Trenton Irwin,WR,0.50,0.50,0.00
